GEO entry	sample name	Embryo ID	Annotated State	Number of transcripts
GSM2206190	24_r10_2	24c2	ABarpp	113530
GSM2206191	24_r11_2	24c2	Cxa	33369
GSM2206192	24_r12_2	24c2	ABalpa	104239
GSM2206193	24_r13_2	24c2	Ep (28-cell stage)	121898
GSM2206194	24_r14_2	24c2	ABarap	129511
GSM2206195	24_r15_2	24c2	P4 (28-cell stage)	45728
GSM2206196	24_2r16_2	24c2	MSxa	32505
GSM2206197	24_r17_2	24c2	D	129376
GSM2206198	24_r18_2	24c2	ABpxpa	77395
GSM2206199	24_r19_2	24c2	ABarpa	97158
GSM2206201	24_r21_2	24c2	ABpxpa	52786
GSM2206202	24_r22_2	24c2	ABpxpp	55338
GSM2206203	24_r23_2	24c2	ABpxap	17831
GSM2206204	25_r1_1	25c	Cxa	95264
GSM2206205	25_r2_1	25c	ABalap	92579
GSM2206206	25_r3_1	25c	ABaraa	71007
GSM2206207	25_r4_1	25c	D	131333
GSM2206208	25_r5_1	25c	ABarap	71800
GSM2206209	25_r6_1	25c	ABpxap	97287
GSM2206210	25_r7_1	25c	ABarpa	80056
GSM2206211	25_r8_1	25c	ABpxpp	34081
GSM2206212	25_2r9_1	25c	ABpxaa	125108
GSM2206213	25_r10_1	25c	Ea (28-cell stage)	107020
GSM2206214	25_P4_1	25c	Cxp	199285
GSM2206215	25_2r12_1	25c	ABpxpa	53194
GSM2206216	25_2r13_1	25c	P4 (28-cell stage)	34856
GSM2206217	25_2r14_1	25c	ABpxap	58196
GSM2206218	25_2r15_1	25c	ABpxpa	71767
GSM2206219	25_r16_1	25c	ABpxpp	50817
GSM2206220	25_2r17_1	25c	MSxa	115369
GSM2206221	25_2r18_1	25c	ABpxaa	67580
GSM2206222	25_2r19_1	25c	ABarpp	75217
GSM2206223	25_r20_1	25c	Ep (28-cell stage)	85311
GSM2206224	25_r21_1	25c	ABalpa	78839
GSM2206225	25_r22_1	25c	ABalaa	49191
GSM2206226	25_r23_1	25c	MSxp	42716
GSM2206227	27_r1_1	27c	Ea (28-cell stage)	181601
GSM2206228	27_r2_1	27c	ABaraa	70079
GSM2206229	27_r3_1	27c	ABpxpp	85944
GSM2206230	27_r4_1	27c	ABalpp	121496
GSM2206231	27_r5_1	27c	ABalpa	129382
GSM2206232	27_r6_1	27c	ABarpa	138396
GSM2206233	27_r7_1	27c	ABalap	237644
GSM2206235	27_r9_1	27c	ABpxpa	110465
GSM2206236	27_r10_1	27c	ABarpp	91458
GSM2206237	27_r11_1	27c	Ep (28-cell stage)	124680
GSM2206238	27_r12_1	27c	ABpxpa	92849
GSM2206239	27_r13_1	27c	MSxa	107405
GSM2206240	27_r14_1	27c	MSxa	103329
GSM2206241	27_r15_1	27c	ABalap	110566
GSM2206242	27_r16_1	27c	D	106767
GSM2206243	27_r17_1	27c	Cxp	27173
GSM2206244	27_r18_1	27c	ABpxaa	126879
GSM2206245	27_r19_1	27c	MSxp	93886
GSM2206246	27_r20_1	27c	Cxp	108686
GSM2206247	27_r21_1	27c	ABpxaa	129605
GSM2206248	27_r22_1	27c	MSxp	100799
GSM2206250	27_r24_1	27c	Cxa	87815
GSM2206251	27_r25_1	27c	ABpxap	127314
GSM2206252	27_r26_1	27c	ABpxpp	116093
GSM2206253	27_r27_1	27c	P4 (28-cell stage)	115479
GSM2206501	45_r2_1	45c	ABxrppa	57036
GSM2206502	45_r3_1	45c	ABarppa	44179
GSM2206503	45_r4_1	45c	ABalapa	59067
GSM2206504	45_r5_1	45c	ABpxaap	151514
GSM2206505	45_r6_1	45c	MSppa	38663
GSM2206506	45_r7_1	45c	ABxrppp	47920
GSM2206509	45_r10_1	45c	ABxpap	54079
GSM2206510	45_r11_1	45c	ABalppa	69745
GSM2206511	45_r12_1	45c	ABxpap	56336
GSM2206512	45_r13_1	45c	MSppp	36180
GSM2206513	45_r14_1	45c	ABaraap	43738
GSM2206514	45_r15_1	45c	ABalpap	15435
GSM2206515	45_r16_1	45c	ABpxpaa	34501
GSM2206516	45_r17_1	45c	ABarapa	42235
GSM2206518	45_r19_1	45c	ABarapp	27134
GSM2206519	45_r20_1	45c	ABpxapp	37345
GSM2206520	45_r21_1	45c	Cpa (51-cell stage)	88314
GSM2206521	45_r22_1	45c	Dx	126343
GSM2206522	45_r23_1	45c	Caa (51-cell stage)	114319
GSM2206523	45_r24_1	45c	Eax	117423
GSM2206524	45_r25_1	45c	Cap (51-cell stage)	109099
GSM2206525	45_r26_1	45c	Eax	88386
GSM2206526	45_r27_1	45c	MSapp	111786
GSM2206527	45_r28_1	45c	ABpxaaa	35463
GSM2206529	45_r30_1	45c	ABalpaa	58184
GSM2206530	45_r31_1	45c	ABpxaap	54446
GSM2206531	45_r32_1	45c	ABarpaa	89180
GSM2206533	45_r34_1	45c	P4 (51-cell stage)	46426
GSM2206534	45_r35_1	45c	ABpxaaa	64667
GSM2206536	45_r37_1	45c	ABpxapa	51913
GSM2206537	45_r38_1	45c	ABpxapa	59906
GSM2206538	45_r39_1	45c	ABpxpaa	56571
GSM2206539	45_r40_1	45c	ABpxapp	35931
GSM2206540	45_r41_1	45c	ABalaaa	20307
GSM2206541	45_r42_1	45c	ABalaap	60066
GSM2206543	48_r1_1	48c	Cpp (51-cell stage)	15025
GSM2206544	48_r2_1	48c	ABxrppp	47144
GSM2206545	48_r3_1	48c	ABxrppa	40632
GSM2206546	48_r4_1	48c	ABarppa	21728
GSM2206547	48_r5_1	48c	MSaap	42910
GSM2206548	48_r6_1	48c	MSaaa	5760
GSM2206549	48_r7_1	48c	MSppp	29744
GSM2206550	48_r8_1	48c	ABpxaap	70553
GSM2206551	48_2r9_1	48c	Caa (51-cell stage)	60656
GSM2206552	48_r10_1	48c	ABxrppa	36053
GSM2206553	48_2r11_1	48c	Cpa (51-cell stage)	96088
GSM2206554	48_2r12_1	48c	Cap (51-cell stage)	44709
GSM2206555	48_r13_1	48c	ABpxapa	11835
GSM2206556	48_2r14_1	48c	ABxrppp	62365
GSM2206557	48_r15_1	48c	ABarpaa	7688
GSM2206558	48_r16_1	48c	ABarapa	38116
GSM2206559	48_r17_1	48c	ABaraap	51361
GSM2206560	48_r18_1	48c	ABpxaaa	44560
GSM2206561	48_2r19_1	48c	ABpxapa	6746
GSM2206562	48_2r20_1	48c	ABalppa	67197
GSM2206563	48_2r21_1	48c	ABpxaaa	48768
GSM2206564	48_2r22_1	48c	ABpxpaa	57857
GSM2206565	48_r23_1	48c	P4 (51-cell stage)	84175
GSM2206566	48_r24_1	48c	MSpap	71860
GSM2206567	48_r25_1	48c	Epx	75274
GSM2206568	48_r26_1	48c	Epx	99635
GSM2206569	48_r27_1	48c	MSpaa	58352
GSM2206570	48_r28_1	48c	MSaaa	46928
GSM2206571	48_r29_1	48c	ABpxaap	75131
GSM2206572	48_r30_1	48c	ABpxapa	53812
GSM2206573	48_2r31_1	48c	ABpxapp	74765
GSM2206574	48_2r32_1	48c	ABalpap	72881
GSM2206575	48_r33_1	48c	ABaraaa	51772
GSM2206576	48_r34_1	48c	ABalpaa	72009
GSM2206577	48_2r35_1	48c	ABarppa	22024
GSM2206578	48_2r36_1	48c	ABarpaa	72143
GSM2206579	48_r37_1	48c	ABxpap	51346
GSM2206581	48_r39_1	48c	ABpxpaa	42015
GSM2206582	48_2r40_1	48c	ABalppp	19528
GSM2206583	48_2r41_1	48c	ABalapa	43673
GSM2206584	48_r42_1	48c	Eax	69462
GSM2206585	48_r43_1	48c	MSppa	52047
GSM2206586	48_r44_1	48c	ABalppp	24975
GSM2206587	48_r45_1	48c	ABalapp	14933
GSM2206588	48_2r46_1	48c	MSapp	69207
GSM2206589	48_2r47_1	48c	ABalapp	48406
GSM2206590	48_2r48_1	48c	Dx	119234
GSM2206591	48_r1_2	48c2	MSpap	41757
GSM2206592	48_r2_2	48c2	MSaap	39309
GSM2206593	48_r3_2	48c2	ABalaaa	26747
GSM2206594	48_r4_2	48c2	Epx	59265
GSM2206595	48_r5_2	48c2	ABpxaaa	28379
GSM2206596	48_r6_2	48c2	ABalaap	27530
GSM2206597	48_r7_2	48c2	MSppa	36108
GSM2206598	48_2r8_2	48c2	ABxrppp	19373
GSM2206599	48_2r9_2	48c2	ABpxapa	56855
GSM2206600	48_2r10_2	48c2	ABpxpaa	21123
GSM2206601	48_2r11_2	48c2	ABaraaa	29079
GSM2206602	48_2r12_2	48c2	Dx	28354
GSM2206603	48_r13_2	48c2	Eax	52688
GSM2206604	48_r14_2	48c2	MSaaa	43646
GSM2206605	48_r15_2	48c2	Eax	75234
GSM2206606	48_r16_2	48c2	MSapa	52891
GSM2206607	48_r17_2	48c2	MSpaa	42380
GSM2206608	48_r18_2	48c2	ABarapa	48762
GSM2206609	48_r19_2	48c2	ABalapp	39545
GSM2206610	48_r20_2	48c2	ABpxaap	45654
GSM2206611	48_r21_2	48c2	ABpxaaa	42706
GSM2206612	48_2r22_2	48c2	ABpxaap	56020
GSM2206614	48_r24_2	48c2	ABxpap	27721
GSM2206615	48_2r25_2	48c2	ABpxapa	26978
GSM2206616	48_r26_2	48c2	ABxrppa	18063
GSM2206617	48_r27_2	48c2	ABalapa	19464
GSM2206618	48_2r28_2	48c2	ABpxapp	13089
GSM2206619	48_r29_2	48c2	ABxpap	50976
GSM2206620	48_r30_2	48c2	ABalpaa	35443
GSM2206621	48_2r31_2	48c2	ABaraap	28755
GSM2206622	48_2r32_2	48c2	ABarppa	53568
GSM2206625	48_2r35_2	48c2	ABalppp	19619
GSM2206626	48_2r36_2	48c2	ABpxapp	14995
GSM2206627	48_r37_2	48c2	ABalpap	14330
GSM2206631	48_r41_2	48c2	ABarpaa	47388
GSM2206633	48_r43_2	48c2	MSapp	36626
GSM2206635	48_r45_2	48c2	Caa (51-cell stage)	65146
GSM2206636	48_r46_2	48c2	MSppp	19577
GSM2206637	48_2r47_2	48c2	Cpp (51-cell stage)	45122
GSM2206638	48_r48_2	48c2	ABarapp	8165
GSM2206639	51_r1_1	51c	ABxrppa	36609
GSM2206640	51_r2_1	51c	Cpp (51-cell stage)	66302
GSM2206641	51_r3_1	51c	ABxrppp	64168
GSM2206642	51_r4_1	51c	ABaraaa	59302
GSM2206643	51_r5_1	51c	ABpxpaa	38231
GSM2206644	51_r6_1	51c	Caa (51-cell stage)	47771
GSM2206645	51_r7_1	51c	ABpxapp	57212
GSM2206646	51_r8_1	51c	ABxpap	52052
GSM2206648	51_r10_1	51c	ABxrppa	47034
GSM2206649	51_r11_1	51c	Eax	56104
GSM2206651	51_r13_1	51c	ABarapa	6329
GSM2206653	51_r15_1	51c	ABpxaaa	53140
GSM2206654	51_r16_1	51c	ABarppa	56243
GSM2206655	51_r17_1	51c	ABalaap	41022
GSM2206657	51_r19_1	51c	Cpa (51-cell stage)	55481
GSM2206658	51_r20_1	51c	ABpxapa	65219
GSM2206659	51_r21_1	51c	MSppa	9259
GSM2206660	51_r22_1	51c	ABpxaap	47651
GSM2206661	51_r23_1	51c	Epx	32473
GSM2206662	51_r24_1	51c	Eax	42900
GSM2206663	51_r25_1	51c	Dx	74118
GSM2206664	51_r26_1	51c	ABpxpaa	59483
GSM2206665	51_r27_1	51c	P4 (51-cell stage)	27825
GSM2206666	51_r28_1	51c	ABalppa	31236
GSM2206667	51_r29_1	51c	Cpa (51-cell stage)	34544
GSM2206668	51_r30_1	51c	Epx	20872
GSM2206671	51_r33_1	51c	ABalpaa	62663
GSM2206672	51_r34_1	51c	ABarpaa	32942
GSM2206674	51_r36_1	51c	ABpxapa	6908
GSM2206676	51_r38_1	51c	ABaraap	34534
GSM2206678	51_r40_1	51c	ABpxaap	42976
GSM2206679	51_r41_1	51c	MSaaa	8113
GSM2206680	51_2r42_1	51c	MSaaa	23834
GSM2206681	51_2r44_1	51c	MSapp	64676
GSM2206683	51_2r48_1	51c	ABalapa	71288
GSM2206684	51_2r50_1	51c	ABarpaa	6187
GSM2206685	55_r1_1	55c	MSaaa	61363
GSM2206686	55_r2_1	55c	ABalpaa	42825
GSM2206687	55_r3_1	55c	ABaraap	50430
GSM2206688	55_r4_1	55c	ABpxaap	57065
GSM2206690	55_r6_1	55c	ABalaap	33931
GSM2206692	55_2r8_1	55c	ABpxaaa	49387
GSM2206693	55_r9_1	55c	Caa (51-cell stage)	24589
GSM2206694	55_r10_1	55c	Cap (51-cell stage)	91810
GSM2206695	55_r11_1	55c	ABalapa	43947
GSM2206696	55_2r12_1	55c	MSapp	66019
GSM2206697	55_2r13_1	55c	ABarapp	77961
GSM2206698	55_r14_1	55c	ABpxaaa	66330
GSM2206699	55_2r15_1	55c	ABalapp	57317
GSM2206700	55_r16_1	55c	ABarpaa	10183
GSM2206701	55_r17_1	55c	ABxrppa	59363
GSM2206702	55_r18_1	55c	ABxpap	75467
GSM2206703	55_r19_1	55c	ABxrppp	67219
GSM2206704	55_r20_1	55c	Eax	27051
GSM2206706	55_2r22_1	55c	ABpxaaa	52710
GSM2206707	55_r23_1	55c	ABarapa	63187
GSM2206708	55_r24_1	55c	ABpxaap	49811
GSM2206709	55_r25_1	55c	P4 (51-cell stage)	102739
GSM2206711	55_r27_1	55c	ABarpaa	6927
GSM2206712	55_r28_1	55c	Cpa (51-cell stage)	57287
GSM2206713	55_r29_1	55c	ABalppa	43028
GSM2206714	55_r30_1	55c	ABarpaa	28536
GSM2206715	55_r31_1	55c	ABaraaa	33248
GSM2206716	55_r32_1	55c	Cpa (51-cell stage)	62987
GSM2206717	55_2r33_1	55c	ABalpap	45395
GSM2206718	55_r34_1	55c	ABarppa	100149
GSM2206719	55_2r35_1	55c	ABpxpaa	51088
GSM2206720	55_r36_1	55c	ABarppa	70505
GSM2206721	55_r37_1	55c	MSpaa	58558
GSM2206722	55_r38_1	55c	ABpxapa	58017
GSM2206723	55_r39_1	55c	ABpxpaa	20000
GSM2206725	55_r41_1	55c	MSppa	70616
GSM2206726	55_2r42_1	55c	Caa (51-cell stage)	41677
GSM2206727	55_r43_1	55c	ABpxapa	54373
GSM2206728	55_r44_1	55c	MSapa	36531
GSM2206729	55_r45_1	55c	MSaap	41269
GSM2206730	55_r46_1	55c	ABalaaa	28630
GSM2206732	55_r48_1	55c	ABxrppa	29263
GSM2206734	55_r50_1	55c	ABpxapp	24817
GSM2206735	55_r51_1	55c	ABxpap	51137
GSM2206736	55_r52_1	55c	MSppp	38460
GSM2206738	55_r54_1	55c	Eax	80794
GSM2206796	72_r1_1	72c	Daa	55159
GSM2206797	72_r2_1	72c	ABarappx	32541
GSM2206798	72_r3_1	72c	ABarappx	24976
GSM2206799	72_r4_1	72c	Eala 102	81558
GSM2206800	72_r5_1	72c	ABarppax	37072
GSM2206801	72_r6_1	72c	ABarappx	29964
GSM2206802	72_r7_1	72c	MSxppa	53072
GSM2206803	72_r8_1	72c	MSxpaa	58710
GSM2206804	72_r9_1	72c	ABarpppx	36035
GSM2206805	72_r10_1	72c	ABpxaapx	52356
GSM2206806	72_r11_1	72c	ABaraapx	69459
GSM2206807	72_r12_1	72c	ABpxapax	28656
GSM2206808	72_r13_1	72c	ABpxaapx	45489
GSM2206810	72_r15_1	72c	ABarppax	18455
GSM2206811	72_r16_1	72c	ABarppax	22975
GSM2206812	72_r17_1	72c	ABarpaxx	65882
GSM2206813	72_2r18_1	72c	ABarapax	73823
GSM2206814	72_r19_1	72c	ABarpaxx	51254
GSM2206815	72_r20_1	72c	Cppa	28603
GSM2206817	72_r22_1	72c	ABpxappx	43718
GSM2206818	72_r23_1	72c	ABalpppx	25500
GSM2206820	72_2r25_1	72c	ABpxappx	65776
GSM2206821	72_2r26_1	72c	Eala 102	74793
GSM2206823	72_r28_1	72c	Daa	62773
GSM2206824	72_29_1	72c	MSxpaa	58573
GSM2206825	72_r30_1	72c	ABpxappx	34502
GSM2206828	72_r33_1	72c	ABalapax	47780
GSM2206829	72_r34_1	72c	ABpxpapx	41725
GSM2206831	72_r36_1	72c	ABalapax	21622
GSM2206832	72_r37_1	72c	ABalappx	31671
GSM2206834	72_r39_1	72c	ABarpppx	47627
GSM2206837	72_r42_1	72c	MSxppa	70427
GSM2206839	72_r44_1	72c	Capa	54461
GSM2206840	72_r45_1	72c	ABpxpapx	28040
GSM2206841	72_2r46_1	72c	P4a 102	131877
GSM2206842	72_r47_1	72c	ABarpaxx	41091
GSM2206843	72_r48_1	72c	Caaa	42776
GSM2206846	72_2r51_1	72c	ABpxpppx	42833
GSM2206847	72_2r52_1	72c	ABarapax	47239
GSM2206851	72_r56_1	72c	ABarapax	14511
GSM2206853	72_2r58_1	72c	ABaraapx	46592
GSM2206854	72_r59_1	72c	ABpxpppx	29654
GSM2206858	72_r63_1	72c	ABaraapx	54186
GSM2206859	72_r64_1	72c	ABalpapx	32404
GSM2206860	72_r65_1	72c	ABalaapx	23242
GSM2206861	72_r66_1	72c	ABalppax	26650
GSM2206862	72_r67_1	72c	ABpxpaax	27517
GSM2206863	72_r68_1	72c	Epla 102	95366
GSM2206866	72_r71_1	72c	ABalpapx	31320
GSM2206868	82_r1_1	82c	ABarpaxx	21815
GSM2206871	82_r4_1	82c	ABpxpppx	21185
GSM2206873	82_r6_1	82c	ABpxppax	26602
GSM2206874	82_r7_1	82c	Eala 102	90969
GSM2206875	82_2r8_1	82c	MSxpaa	64781
GSM2206876	82_r9_1	82c	ABpxaapx	46166
GSM2206877	82_r10_1	82c	Capa	45237
GSM2206878	82_r11_1	82c	Epla 102	125075
GSM2206879	82_r12_1	82c	ABpxpapx	28894
GSM2206880	82_2r13_1	82c	MSxppa	38673
GSM2206881	82_r14_1	82c	ABpxapax	44849
